Дисциплина,Направление,Потоков,Групп,Лекции,Cеминары,ПК,КР,ТК
Машинное обучение,ФИТиАБД_ПИ(б-3++)_очная_4,2,8,32,392,76,0,58
Машинное обучение,ФИТиАБД_ПМиИ(б-3++)_очная_4,2,6,32,336,60,438,0
Методология поиска источников данных и подготовки данных для анализа,ФИТиАБД_МехРобот(м-3++)_очная_3,1,1,16,27,5,0,5
Методология поиска источников данных и подготовки данных для анализа,ФИТиАБД_ПМиИ(м-3++)_очная_4,2,2,20,72,11,0,11
Методы визуализации данных,ИОО_ПИ(м-3++)_заочная_2,1,2,0,32,2,0,10
Методы визуализации данных,ИОО_Экономика(м-3+)_заочная_8,1,2,0,16,2,0,12
Методы визуализации данных,ФИТиАБД_МехРобот(м-3++)_очная_2,1,1,10,40,9,0,5
Методы визуализации данных,ФИТиАБД_ПИ(м-3++)_очная_2,2,2,20,72,12,0,12
Методы визуализации данных,ФИТиАБД_ПМиИ(м-3++)_очная_2,2,2,20,72,11,0,11
Методы трансляции,ФИТиАБД_ПМиИ(б-3++)_очная_6,1,3,16,86,16,0,16
Моделирование и проектирование агропромышленных робототехнических систем,ФИТиАБД_МехРобот(м-3++)_очная_4,1,1,10,31,5,0,5
Научно-исследовательский семинар,ИОО_ПИ(м-3++)_заочная_1,1,2,0,4,0,0,0
Научно-исследовательский семинар,ИОО_ПИ(м-3++)_заочная_2,1,2,0,4,0,0,0
Научно-исследовательский семинар,ИОО_ПИ(м-3++)_заочная_3,1,2,0,4,0,0,0
Научно-исследовательский семинар,ИОО_ПИ(м-3++)_заочная_4,1,2,0,4,2,0,0
Научно-исследовательский семинар,ИОО_ПИ(м-3++)_заочная_5,1,1,0,6,0,0,0
Научно-исследовательский семинар,ИОО_ПИ(м-3++)_заочная_6,1,1,0,6,0,0,0
Научно-исследовательский семинар,ИОО_ПИ(м-3++)_заочная_7,1,1,0,6,0,0,0
Научно-исследовательский семинар,ИОО_ПИ(м-3++)_заочная_8,1,1,0,6,0,0,0
Научно-исследовательский семинар,ФИТиАБД_МехРобот(м-3++)_очная_1,1,1,0,4,0,0,0
Научно-исследовательский семинар,ФИТиАБД_МехРобот(м-3++)_очная_2,1,1,0,4,5,0,0
Научно-исследовательский семинар,ФИТиАБД_МехРобот(м-3++)_очная_3,1,1,0,4,0,0,0
Научно-исследовательский семинар,ФИТиАБД_МехРобот(м-3++)_очная_4,1,1,0,4,5,0,0
Научно-исследовательский семинар,ФИТиАБД_ПИ(м-3++)_очная_1,2,2,0,8,0,0,0
Научно-исследовательский семинар,ФИТиАБД_ПИ(м-3++)_очная_2,2,2,0,8,12,0,0
Научно-исследовательский семинар,ФИТиАБД_ПИ(м-3++)_очная_3,2,2,0,8,0,0,0
Научно-исследовательский семинар,ФИТиАБД_ПИ(м-3++)_очная_4,2,2,0,8,12,0,0
Научно-исследовательский семинар,ФИТиАБД_ПИ(м-3++)_очная_5,1,1,0,4,0,0,0
Научно-исследовательский семинар,ФИТиАБД_ПИ(м-3++)_очная_6,1,1,0,4,5,0,0
Научно-исследовательский семинар,ФИТиАБД_ПИ(м-3++)_очная_8,1,1,0,8,5,0,0
Научно-исследовательский семинар,ФИТиАБД_ПМиИ(м-3++)_очная_1,2,2,0,12,0,0,0
Научно-исследовательский семинар,ФИТиАБД_ПМиИ(м-3++)_очная_2,2,2,0,20,11,0,0
Научно-исследовательский семинар,ФИТиАБД_ПМиИ(м-3++)_очная_3,2,2,0,12,0,0,0
Научно-исследовательский семинар,ФИТиАБД_ПМиИ(м-3++)_очная_4,2,2,0,16,11,0,0
Научно-исследовательский семинар,ФИТиАБД_ПМиИ(м-3++)_очная_5,1,1,0,8,0,0,0
Научно-исследовательский семинар,ФИТиАБД_ПМиИ(м-3++)_очная_6,1,1,0,14,5,0,0
Научно-исследовательский семинар,ФИТиАБД_ПМиИ(м-3++)_очная_8,1,1,0,8,5,0,0
Нейронные сети,ФИТиАБД_ПМиИ(б-3++)_очная_7,1,3,16,117,31,0,23
Нереляционные базы данных,ИОО_ПИ(м-3++)_заочная_2,1,2,0,32,2,0,32
Нереляционные базы данных,ФИТиАБД_ПИ(м-3++)_очная_2,2,2,20,72,12,0,40
Нереляционные базы данных,ФИТиАБД_ПМиИ(м-3++)_очная_2,2,2,20,72,11,0,36
Обработка данных и моделирование в Microsoft Excel,ИОО_ПИ(б-3++)_заочная_4,1,2,0,12,8,0,8
Обработка данных и моделирование в Microsoft Excel,ИОО_Экономика(м-3+)_заочная_7,1,2,0,16,2,0,12
Обработка данных и моделирование в Microsoft Excel,ФИТиАБД_ПИ(б-3++)_очная_4,2,8,32,273,58,0,58
Обработка данных и моделирование в Microsoft Excel,ФИТиАБД_ПИ(б-3++)_очно-заочная_5,1,2,16,35,13,0,9
Обработка данных и моделирование в Microsoft Excel,ФИТиАБД_ПМиИ(б-3++)_очная_4,2,6,32,234,44,0,44
Обработка статистических потоковых больших данных,ИОО_ПИ(м-3++)_заочная_8,1,1,4,16,10,0,6
Обработка статических и потоковых больших данных,ФИТиАБД_ПИ(м-3++)_очная_4,2,2,20,80,12,0,12
Обработка статических и потоковых больших данных,ФИТиАБД_ПИ(м-3++)_очная_6,1,1,10,36,9,0,5
Обучение с подкреплением,ФИТиАБД_МехРобот(м-3++)_очная_4,1,1,10,27,9,0,5
Обучение с подкреплением,ФИТиАБД_ПМиИ(м-3++)_очная_3,2,2,16,62,19,0,11
Организация вычислительных систем,ИОО_ПИ(б-3++)_заочная_3,1,3,0,32,25,0,19
Организация вычислительных систем,ФИТиАБД_ПИ(б-3++)_очная_1,2,8,32,312,60,0,60
Организация вычислительных систем,ФИТиАБД_ПИ(б-3++)_очная_2,2,8,32,312,80,0,60
Организация вычислительных систем,ФИТиАБД_ПИ(б-3++)_очно-заочная_1,1,4,16,84,30,0,30
Организация вычислительных систем,ФИТиАБД_ПИ(б-3++)_очно-заочная_2,1,4,16,84,40,0,30
Основы машинной обработки естественного языка (NLP),ФМЭО_Лингвистика(м-3++)_очная_2,1,1,0,41,5,0,5
Основы мехатроники и робототехники,ФИТиАБД_МехРобот(м-3++)_очная_1,1,1,8,28,5,0,5
Основы мехатроники и робототехники,ФИТиАБД_МехРобот(м-3++)_очная_2,1,1,10,11,9,0,5
